#OTUID	C_2	C_34	C_36	C_49	P10_11	P10_13	P10_18	P10_54	P10_55	P10_57	P20_1	P20_3	P20_16	P20_37	P20_41	P20_52	W10_14	W10_15	W10_21	W10_31	W10_33	W10_53	W20_4	W20_8	W20_23	W20_50	W20_51	W20_56	taxonomy
1181	402333333.3	307333333.3	2.61E+08	486666666.7	385666666.7	154666666.7	154666666.7	164333333.3	2.33E+08	385666666.7	271666666.7	304333333.3	234666666.7	289333333.3	210666666.7	205666666.7	278666666.7	251333333.3	321333333.3	276666666.7	373333333.3	257333333.3	1.55E+08	135666666.7	72533333.33	64566666.67	65433333.33	97533333.33	 histone H2A type 1 [Homo sapiens]
1182	0	0	0	0	0	0	0	0	0	0	169333333.3	173666666.7	137666666.7	165666666.7	130333333.3	137666666.7	157666666.7	158333333.3	176666666.7	169333333.3	213666666.7	165666666.7	0	0	0	0	0	0	 histone H2A type 2-A [Homo sapiens]
1183	70400000	52800000	49200000	78066666.67	0	0	0	0	0	0	56833333.33	56366666.67	43466666.67	57700000	43300000	37733333.33	54300000	40766666.67	57833333.33	6.00E+07	66933333.33	56233333.33	0	0	0	0	0	0	 histone H2A type 2-B [Homo sapiens]
1184	2.33E+08	203666666.7	174666666.7	307333333.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 histone H2A type 2-C [Homo sapiens]
1185	116666666.7	93833333.33	85066666.67	177333333.3	2.44E+08	92400000	81366666.67	7.50E+07	1.27E+08	203666666.7	97833333.33	93233333.33	74633333.33	92366666.67	77733333.33	76700000	0	0	0	0	0	0	0	0	0	0	0	0	 histone H2AX [Homo sapiens]
1186	0	0	0	0	353333333.3	223666666.7	173333333.3	198333333.3	152666666.7	3.77E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 histone H2B type 1-A [Homo sapiens]
1187	0	0	0	0	486666666.7	2.85E+08	2.51E+08	277666666.7	267333333.3	4.54E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 histone H2B type 1-H [Homo sapiens]
1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E+08	219333333.3	99333333.33	115300000	75066666.67	113100000	 histone H2B type 1-K [Homo sapiens]
1189	0	0	0	0	4.79E+08	2.82E+08	247333333.3	2.76E+08	267666666.7	4.50E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 histone H2B type 2-E [Homo sapiens]
1190	0	0	0	0	0	0	0	0	0	0	2350000	1430000	1226333.333	2090000	2113333.333	1675000	1930000	1796666.667	2983333.333	2770000	4773333.333	1756666.667	1606666.667	1080666.667	1041000	13233.33333	0	0	 histone H2B type F-M [Homo sapiens]
1191	101633333.3	79200000	75833333.33	1.40E+08	191666666.7	41600000	60833333.33	72633333.33	137233333.3	149333333.3	79466666.67	103900000	95900000	96666666.67	87566666.67	71333333.33	83533333.33	98566666.67	1.31E+08	104400000	146666666.7	87966666.67	116333333.3	75100000	45666666.67	28300000	45300000	29400000	 histone H3.2 [Homo sapiens]
1192	101466666.7	79200000	76266666.67	1.40E+08	191666666.7	41600000	60833333.33	72633333.33	136933333.3	149333333.3	79466666.67	104233333.3	95966666.67	96833333.33	87633333.33	71333333.33	83633333.33	98133333.33	1.31E+08	104433333.3	146666666.7	87966666.67	116333333.3	75100000	45666666.67	28366666.67	45366666.67	29400000	 histone H3.3 [Homo sapiens]
1193	23036666.67	15526666.67	20560000	25450000	35736666.67	7626666.667	6760000	17330000	23974333.33	0	21963333.33	2367333.333	5460000	1930000	12359333.33	11219333.33	4010000	4383333.333	10408000	5858000	13906666.67	2782666.667	3586666.667	427666.6667	2731666.667	9080000	695666.6667	1302666.667	" HLA class I histocompatibility antigen, A-1 alpha chain precursor [Homo sapiens]"
1194	0	0	0	0	2203333.333	2260000	1970000	6120000	8190000	0	4056666.667	0	0	1826666.667	0	3047000	0	0	4993333.333	1225000	0	0	0	0	0	0	0	0	" HLA class I histocompatibility antigen, alpha chain G precursor [Homo sapiens]"
1195	333333.3333	310666.6667	360666.6667	707000	1473333.333	468333.3333	0	0	1710000	0	220500	519000	0	0	254333.3333	568166.6667	288333.3333	221666.6667	492000	446000	1041666.667	210666.6667	343666.6667	159666.6667	275333.3333	0	0	0	 HLA class II histocompatibility antigen gamma chain isoform b [Homo sapiens]
1196	3246666.667	4380000	1260000	2920000	3140000	3250000	856000	2060000	5920000	2433333.333	5090000	3910000	1554000	4540000	4366666.667	6290000	954000	929000	2431666.667	2370000	4770000	923333.3333	3110000	1121333.333	829000	920666.6667	0	0	" HLA class II histocompatibility antigen, DR alpha chain precursor [Homo sapiens]"
1197	0	0	0	0	0	0	0	0	0	0	0	166000	211333.3333	228666.6667	936333.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	 homeobox and leucine zipper protein Homez [Homo sapiens]
1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000	0	0	0	0	0	0	 homeobox protein Nkx-2.8 [Homo sapiens]
1199	249666.6667	232900	101866.6667	0	0	163163.3333	244500	0	0	0	0	0	309333.3333	267000	248900	413666.6667	0	0	0	0	0	0	0	0	0	0	0	0	 homeobox protein OTX1 [Homo sapiens]
1200	0	34333.33333	302333.3333	0	108650	0	0	591500	0	2850000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 hormone-sensitive lipase [Homo sapiens]
1201	583666.6667	0	594333.3333	395500	0	345333.3333	738666.6667	674666.6667	0	0	317333.3333	0	945666.6667	816000	472666.6667	1293333.333	464000	448000	507333.3333	504333.3333	0	362000	319500	399333.3333	353666.6667	0	0	0	 host cell factor 2 [Homo sapiens]
1202	20533333.33	22466666.67	23433333.33	18966666.67	22733333.33	21433333.33	17100000	23333333.33	14066666.67	25366666.67	18933333.33	13200000	17666666.67	11733333.33	10620000	10056666.67	10920000	10286666.67	10576666.67	14633333.33	8303333.333	9816666.667	11063333.33	9956666.667	4883333.333	3640000	2336666.667	4070000	 hsc70-interacting protein isoform 1 [Homo sapiens]
1203	1663333.333	1552000	1117500	1821000	656666.6667	1714000	998666.6667	2079000	1226666.667	3111666.667	1765000	1334000	1299000	1216666.667	542666.6667	1440000	2366666.667	1940666.667	535666.6667	3626666.667	1836500	2053333.333	2253333.333	1238000	493000	272666.6667	324333.3333	1129000	 hsp90 co-chaperone Cdc37 [Homo sapiens]
1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8586666.667	8543333.333	11513333.33	13466666.67	9390000	9046666.667	0	0	0	0	0	0	 HSPE1-MOB4 protein [Homo sapiens]
1205	1860000	0	2276666.667	134333.3333	0	1308666.667	0	0	675666.6667	112666.6667	1313333.333	0	0	1093666.667	0	0	1242333.333	1132000	1983333.333	904666.6667	0	1430000	782500	1380000	1005000	108850	0	0	 hyaluronan-binding protein 2 isoform 1 preproprotein [Homo sapiens]
1206	0	0	0	0	0	0	0	0	0	0	0	0	726666.6667	2116333.333	1880000	0	0	0	0	0	0	0	0	0	0	0	0	0	 hyaluronan mediated motility receptor isoform a [Homo sapiens]
1207	18133333.33	16033333.33	17633333.33	11530000	23700000	15333333.33	14300000	16506666.67	18800000	33766666.67	17833333.33	6276666.667	8306666.667	7896666.667	9350000	5316666.667	6396666.667	7246666.667	8826666.667	14466666.67	11203333.33	7343333.333	8593333.333	7026666.667	5160000	3416666.667	2246666.667	4663333.333	" hydroxyacyl-coenzyme A dehydrogenase, mitochondrial isoform 2 precursor [Homo sapiens]"
1208	440500	703333.3333	0	779666.6667	2112000	140333.3333	560666.6667	378000	482000	50200	507666.6667	311500	1001333.333	904333.3333	553666.6667	0	0	0	1025333.333	301000	439000	1206000	283666.6667	0	0	397666.6667	0	108100	" hydroxymethylglutaryl-CoA lyase, mitochondrial isoform 1 precursor [Homo sapiens]"
1209	7820000	10700000	7993333.333	5663333.333	15900000	10640000	4255666.667	7096666.667	4700000	14166666.67	13933333.33	3330000	8606666.667	11483333.33	5640000	4954666.667	8490000	5813333.333	12003333.33	2243000	4086666.667	4576666.667	5810000	9523333.333	2101000	2706666.667	2296333.333	1338000	" hydroxymethylglutaryl-CoA synthase, mitochondrial isoform 1 precursor [Homo sapiens]"
1210	5346666.667	4540000	4540000	4173333.333	4870000	5553333.333	2073333.333	2536666.667	5453333.333	3273333.333	2446666.667	2786666.667	2273333.333	1250333.333	3980000	2330000	3510000	1746666.667	2370000	2306666.667	4333333.333	2760000	3076666.667	1560000	1500000	796000	437666.6667	823333.3333	 hypoxanthine-guanine phosphoribosyltransferase [Homo sapiens]
1211	0	0	0	0	4540000	2840000	2206666.667	2446666.667	4763333.333	0	0	0	0	0	0	0	0	0	0	0	0	0	1606666.667	1080666.667	706666.6667	13233.33333	0	0	 hypoxia-inducible factor 3-alpha isoform c [Homo sapiens]
1212	4950000	13300000	8303333.333	8623333.333	19166666.67	11266666.67	6833333.333	3550000	12840000	12783333.33	4476666.667	4600000	6556666.667	3726666.667	3183333.333	2093333.333	1.30E+07	2670000	4090000	15600000	6586666.667	4900000	0	0	0	0	0	0	 hypoxia up-regulated protein 1 precursor [Homo sapiens]
1213	4226666.667	0	0	6533333.333	10346666.67	4690000	5703333.333	0	1530000	2216666.667	3993333.333	1755333.333	1583333.333	1106666.667	2516666.667	770333.3333	5493333.333	1223666.667	9706666.667	1836666.667	4226666.667	2129333.333	2273333.333	512666.6667	688000	1993333.333	773666.6667	780333.3333	 IgGFc-binding protein precursor [Homo sapiens]
1214	1246000	2861000	778333.3333	831000	1752666.667	1604333.333	2940000	5742500	1243666.667	766666.6667	750000	9406666.667	2850000	985666.6667	3081500	1516666.667	2620333.333	802666.6667	4085000	1212000	0	1359000	525666.6667	2501500	4160000	257333.3333	5555666.667	4037333.333	 immunoglobulin-like domain-containing receptor 1 isoform 1 precursor [Homo sapiens]
1215	6990000	10083333.33	5340000	5880000	9446666.667	9926666.667	4110000	4830000	9293333.333	3390666.667	7503333.333	3003333.333	6416666.667	4780000	3620000	3706666.667	6683333.333	2206666.667	4903333.333	4836666.667	3376666.667	3826666.667	2903333.333	2043333.333	2510000	1576666.667	94166.66667	1916666.667	 immunoglobulin J chain precursor [Homo sapiens]
1216	2.23E+08	380666666.7	212666666.7	277333333.3	57266666.67	6.50E+07	63366666.67	51200000	40900000	17333333.33	12066666.67	31300000	19900000	20633333.33	17566666.67	33600000	56033333.33	34566666.67	9313333.333	20566666.67	19133333.33	19733333.33	0	0	0	0	0	0	 immunoglobulin lambda-like polypeptide 1 isoform a precursor [Homo sapiens]
1217	126333333.3	121666666.7	1.90E+08	1.14E+08	157233333.3	258200000	164766666.7	168866666.7	218733333.3	59833333.33	150666666.7	182900000	162733333.3	78133333.33	187266666.7	139400000	174333333.3	1.14E+08	129666666.7	124666666.7	39033333.33	68900000	97933333.33	57033333.33	45966666.67	44333333.33	10963333.33	30500000	 immunoglobulin lambda-like polypeptide 5 isoform 1 [Homo sapiens]
1218	171666666.7	217666666.7	179666666.7	1.31E+08	214666666.7	174333333.3	115333333.3	132666666.7	1.96E+08	191333333.3	1.22E+08	64900000	129666666.7	92833333.33	76466666.67	81800000	136666666.7	73600000	124333333.3	134333333.3	88433333.33	105700000	67700000	60966666.67	63466666.67	40366666.67	12543333.33	39966666.67	 immunoglobulin lambda-like polypeptide 5 isoform 2 [Homo sapiens]
1219	0	320600	0	67333.33333	84600	26766.66667	348500	0	478333.3333	374300	448100	47333.33333	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 importin-7 [Homo sapiens]
1220	0	0	0	0	759000	732666.6667	0	0	86333.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 importin subunit alpha-4 [Homo sapiens]
1221	15156666.67	8553333.333	21110000	10886666.67	4950000	2673333.333	2770000	10933333.33	16933333.33	8626666.667	6873333.333	2956666.667	5396666.667	4010000	5046666.667	3100000	3630000	19073333.33	4893333.333	8563333.333	5810000	2656666.667	5296666.667	2395333.333	2163333.333	868000	3567666.667	1280000	 importin subunit beta-1 isoform 1 [Homo sapiens]
1222	997000	472333.3333	905000	630000	0	0	0	0	0	0	362000	790500	375500	235000	127666.6667	261000	0	67333.33333	229333.3333	0	304500	612666.6667	826500	263333.3333	166000	683000	106700	174500	 inactive hydroxysteroid dehydrogenase-like protein 1 isoform a [Homo sapiens]
1223	0	632200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 inactive serine/threonine-protein kinase TEX14 isoform a [Homo sapiens]
1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113333.3333	1650000	1200000	1088500	0	466666.6667	0	0	0	0	0	0	 inhibitor of growth protein 3 isoform 1 [Homo sapiens]
1225	1598000	0	0	8270000	0	1403333.333	0	308500	23100000	16946666.67	7866666.667	7346666.667	0	3185333.333	2070000	0	0	4878800	3670000	4868333.333	17309333.33	1573500	6060000	0	4085850	11103333.33	5090000	6554633.333	 inhibitor of nuclear factor kappa-B kinase-interacting protein isoform 1 [Homo sapiens]
1226	946000	1197333.333	625666.6667	1061333.333	1015000	796000	462666.6667	868000	1226666.667	286666.6667	804000	745666.6667	420000	1044333.333	802666.6667	758000	751000	740333.3333	449333.3333	1163333.333	867000	1046333.333	476000	461666.6667	275666.6667	111666.6667	0	112450	 inhibitor of nuclear factor kappa-B kinase subunit beta isoform 1 [Homo sapiens]
1227	0	147333.3333	439000	1673333.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 inner centromere protein isoform 1 [Homo sapiens]
1228	4450000	4463333.333	4663333.333	3846666.667	11433333.33	3750000	2440000	2423333.333	3360000	4573333.333	2563333.333	3793333.333	2816666.667	1930000	2316666.667	1846666.667	1963333.333	1880000	2050000	4.00E+06	2463333.333	2136666.667	2333333.333	1773333.333	1091333.333	1720000	645000	1303333.333	 inorganic pyrophosphatase [Homo sapiens]
1229	0	136500	231700	0	197666.6667	32766.66667	0	92350	34333.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" inorganic pyrophosphatase 2, mitochondrial isoform 1 precursor [Homo sapiens]"
1230	0	580666.6667	1216333.333	419000	0	1085333.333	755000	491000	744000	413333.3333	891000	399000	8.00E+05	1433500	634333.3333	1932500	1421000	1282500	0	889000	247333.3333	166333.3333	109000	390333.3333	935333.3333	263000	51800	856600	 inositol-trisphosphate 3-kinase C [Homo sapiens]
1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2430000	0	0	0	0	0	0	0	0	0	0	" inositol 1,4,5-trisphosphate receptor type 3 [Homo sapiens]"
1232	0	0	0	0	0	762666.6667	1723000	1509000	518000	1687666.667	301000	322666.6667	87333.33333	0	258000	1570500	2356666.667	1354000	0	0	2885000	2113333.333	400333.3333	227000	0	45666.66667	0	0	 inositol monophosphatase 1 isoform 2 [Homo sapiens]
1233	0	0	0	0	125633.3333	28566.66667	0	31600	28966.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 inositol polyphosphate 1-phosphatase [Homo sapiens]
1234	0	0	0	0	178333.3333	0	406000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 integrator complex subunit 7 isoform 2 [Homo sapiens]
1235	18933333.33	16300000	21933333.33	14033333.33	10690000	15600000	16833333.33	17466666.67	8870000	30100000	12466666.67	12733333.33	15933333.33	14700000	15100000	16166666.67	16166666.67	20266666.67	18733333.33	13733333.33	7793333.333	14800000	8863333.333	12533333.33	10393333.33	3933333.333	3860000	4483333.333	 integrin-linked protein kinase isoform 1 [Homo sapiens]
1236	3280000	2698000	4370000	2920000	3270000	3230000	3750000	4760000	3033333.333	401666.6667	3413333.333	2136666.667	3613333.333	3460000	2926666.667	2803333.333	2976666.667	1086000	2740000	999333.3333	284333.3333	2453333.333	2700000	3016666.667	2186666.667	141666.6667	122400	180666.6667	 integrin alpha-1 precursor [Homo sapiens]
1237	0	0	0	0	198000	0	0	0	443400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 integrin alpha-2 precursor [Homo sapiens]
1238	7976666.667	8910000	7673333.333	6413333.333	7133333.333	8263333.333	6283333.333	5480000	6140000	11500000	0	0	0	0	0	0	0	0	0	0	0	0	3500000	3510000	3633333.333	2486666.667	1430000	1423333.333	 integrin alpha-3 isoform b precursor [Homo sapiens]
1239	909333.3333	995666.6667	670333.3333	188433.3333	0	234666.6667	0	199666.6667	0	0	61350	278500	504000	226000	213666.6667	618333.3333	438666.6667	393500	200333.3333	0	0	627333.3333	0	0	0	0	0	0	 integrin alpha-5 precursor [Homo sapiens]
1240	33500000	27633333.33	33866666.67	2.60E+07	24333333.33	26700000	29166666.67	29333333.33	1.60E+07	30866666.67	21866666.67	18666666.67	25166666.67	23166666.67	19133333.33	25433333.33	20900000	22366666.67	21633333.33	17366666.67	10620000	19866666.67	15233333.33	19600000	14200000	7153333.333	7620000	9913333.333	 integrin beta-1 isoform 1A precursor [Homo sapiens]
1241	32700000	27133333.33	32933333.33	22600000	22033333.33	20533333.33	27766666.67	28600000	14500000	26200000	19933333.33	17266666.67	24166666.67	22266666.67	18800000	22633333.33	19433333.33	21566666.67	20333333.33	16700000	9966666.667	19100000	14533333.33	18633333.33	13966666.67	6906666.667	4296666.667	9543333.333	 integrin beta-1 isoform 1D precursor [Homo sapiens]
1242	0	0	0	0	383500	91000	0	0	992666.6667	3215000	0	0	0	0	0	0	0	0	0	0	298333.3333	0	0	0	0	0	0	0	 integrin beta-2 precursor [Homo sapiens]
1243	1696333.333	474000	322500	1128666.667	1538333.333	439500	268000	439333.3333	304200	595000	508666.6667	452666.6667	610666.6667	331666.6667	459066.6667	312600	0	56000	231533.3333	483000	114300	0	92466.66667	83866.66667	0	0	0	0	 integrin beta-4 isoform 2 precursor [Homo sapiens]
1244	468000	516666.6667	1496000	711000	761333.3333	167000	149000	1758666.667	1770000	851000	602000	2195500	1098333.333	734000	445000	57333.33333	0	0	0	0	0	0	632033.3333	625333.3333	308000	0	0	0	 integrin beta-8 precursor [Homo sapiens]
1245	646666.6667	0	0	0	0	4396666.667	0	0	0	1240000	0	0	0	0	0	0	3446666.667	0	303333.3333	0	0	480000	0	298000	0	271233.3333	0	0	 intelectin-2 precursor [Homo sapiens]
1246	113000	129300	198133.3333	623000	654333.3333	790466.6667	118933.3333	50200	316333.3333	0	335000	258000	210466.6667	52666.66667	128733.3333	0	642000	325000	57100	104833.3333	655666.6667	167000	218500	35250	459400	162000	22666.66667	31100	 inter-alpha-trypsin inhibitor heavy chain H1 isoform a precursor [Homo sapiens]
1247	1420000	5901333.333	1070666.667	1953000	2178000	1643333.333	1153000	5600000	4426666.667	7016666.667	403333.3333	290666.6667	1043333.333	1683333.333	2175666.667	3789333.333	2306666.667	651000	7084000	2821333.333	2550000	615000	1646333.333	232666.6667	331000	1050666.667	226000	198666.6667	 inter-alpha-trypsin inhibitor heavy chain H2 precursor [Homo sapiens]
1248	0	0	0	0	0	0	0	0	0	0	950000	162666.6667	506666.6667	1310000	959000	2020000	0	0	0	0	0	0	849000	913333.3333	913000	0	266500	0	 intercellular adhesion molecule 3 precursor [Homo sapiens]
1249	12366666.67	5756333.333	9510000	6190000	21800000	5953333.333	8790000	6760000	11726666.67	9955333.333	8423333.333	7466666.667	6953333.333	6706666.667	8743333.333	5640000	6813333.333	3533333.333	8130000	8366666.667	9826666.667	4630000	8356666.667	3716666.667	5576666.667	3103333.333	1309666.667	2466666.667	 interferon-induced guanylate-binding protein 1 [Homo sapiens]
1250	0	0	0	0	3253333.333	550000	622000	479000	2273666.667	317500	0	0	0	0	0	0	433333.3333	987000	1273333.333	1079333.333	2005000	860000	0	0	0	0	0	0	 interferon-induced guanylate-binding protein 2 [Homo sapiens]
1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315000	0	0	0	208033.3333	262666.6667	301333.3333	0	0	119000	0	 interferon-induced protein 44-like [Homo sapiens]
1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4206666.667	0	0	0	0	0	0	0	0	" interferon-induced, double-stranded RNA-activated protein kinase isoform a [Homo sapiens]"
1253	595000	0	216333.3333	0	443333.3333	0	0	0	418000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 interferon beta precursor [Homo sapiens]
1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120333.3333	144000	527333.3333	0	134000	0	0	0	0	0	0	 interferon regulatory factor 4 isoform 1 [Homo sapiens]
1255	0	0	0	0	0	6943333.333	5333333.333	0	3913333.333	0	0	3783666.667	242333.3333	0	7945000	8906666.667	0	5120000	0	6095000	0	2245000	2506666.667	5380000	8675000	1034000	587000	1642000	 interleukin-1 alpha proprotein [Homo sapiens]
1256	0	1016666.667	624500	366333.3333	0	0	212000	309000	965666.6667	1117000	612000	250666.6667	725666.6667	408000	212000	303500	1560333.333	286333.3333	621333.3333	834000	230666.6667	272000	1227666.667	549666.6667	175000	459333.3333	127333.3333	489666.6667	 interleukin-1 receptor accessory protein isoform 3 precursor [Homo sapiens]
1257	1623333.333	0	4743333.333	5106666.667	6140000	7876666.667	0	0	8935000	0	0	0	0	0	0	0	0	0	0	0	0	0	4103333.333	3865000	1470000	1546666.667	1900000	390000	 interleukin-12 receptor subunit beta-2 isoform a precursor [Homo sapiens]
1258	290666.6667	2826666.667	810000	0	2500000	1575000	0	1928000	1030000	281000	719666.6667	2150000	1336666.667	1556000	857000	1250000	0	0	0	0	0	0	912333.3333	640333.3333	746333.3333	0	39000	178000	 interleukin-18 isoform 1 proprotein [Homo sapiens]
1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2142000	0	784666.6667	268500	1076666.667	0	0	0	0	0	0	 interleukin-18 receptor 1 isoform 1 precursor [Homo sapiens]
1260	0	0	0	0	0	0	0	0	947000	0	0	2236000	0	0	0	1847500	0	0	0	0	0	0	0	0	0	0	0	0	 interleukin-23 receptor precursor [Homo sapiens]
1261	0	0	0	0	3384500	959000	2376666.667	1294666.667	1021333.333	3530000	0	627000	2231333.333	0	597500	0	0	0	0	0	0	0	0	0	0	0	0	0	 interleukin-33 isoform 1 precursor [Homo sapiens]
1262	4263333.333	4333333.333	2086666.667	7380000	12700000	4270000	4060000	3220000	7120000	12190000	4970000	4800000	3810000	3506666.667	3256666.667	3453333.333	3603333.333	1823333.333	3130000	5613333.333	6856666.667	3136666.667	3553333.333	2360000	1496666.667	1296666.667	1600000	1796666.667	 interleukin enhancer-binding factor 2 isoform 1 [Homo sapiens]
1263	0	0	0	0	0	0	0	0	0	1670000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 intermediate conductance calcium-activated potassium channel protein 4 [Homo sapiens]
1264	0	0	0	0	0	1056333.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 intersectin-2 isoform 1 [Homo sapiens]
1265	7410000	0	9.00E+06	3796666.667	2183333.333	4156666.667	5413333.333	6846666.667	3016666.667	5576666.667	3023333.333	2863333.333	4310000	5500000	4606666.667	5460000	5170000	6380000	5010000	3145000	2376666.667	6833333.333	3323333.333	3025000	3200000	801666.6667	383333.3333	919000	 intraflagellar transport protein 81 homolog isoform 1 [Homo sapiens]
1266	0	0	0	0	6350000	38333.33333	631333.3333	265500	4607333.333	0	967333.3333	158233.3333	155666.6667	673333.3333	131500	835500	385333.3333	90333.33333	981000	302500	128333.3333	214666.6667	0	0	0	0	0	0	 IQ and AAA domain-containing protein 1 isoform 1 [Homo sapiens]
1267	0	321333.3333	0	1598333.333	1525000	1365333.333	1292000	1077333.333	1763333.333	0	1512666.667	2045000	0	1489000	0	2726333.333	1365000	588333.3333	712000	1941000	777000	0	2310000	1406500	757333.3333	55333.33333	633666.6667	595333.3333	 IQ and AAA domain-containing protein 1 isoform 2 [Homo sapiens]
1268	431900	773000	230000	952666.6667	0	0	0	0	0	0	729333.3333	0	430500	193250	559500	0	586500	348000	398500	458000	1013666.667	559000	0	0	0	0	0	0	 IQ domain-containing protein H isoform 1 [Homo sapiens]
1269	26666.66667	179333.3333	15823000	0	0	0	0	0	0	0	58666.66667	0	123666.6667	20166.66667	34666.66667	160000	0	0	0	0	0	0	0	0	0	0	0	0	 isoamyl acetate-hydrolyzing esterase 1 homolog precursor [Homo sapiens]
1270	0	0	0	0	445666.6667	95666.66667	0	96666.66667	0	460000	0	0	0	0	0	0	0	0	0	0	0	0	236000	0	0	704000	0	0	 isochorismatase domain-containing protein 1 [Homo sapiens]
1271	2373333.333	1373333.333	1677333.333	1203333.333	3013333.333	1139000	2100000	1360000	1090666.667	2620000	1011333.333	1653333.333	1956666.667	1381000	901666.6667	1244666.667	1156666.667	951666.6667	776333.3333	1396666.667	711000	752333.3333	1236666.667	634666.6667	270333.3333	786000	174966.6667	605000	" isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial precursor [Homo sapiens]"
1272	0	0	0	0	1291333.333	312333.3333	51333.33333	0	0	1171333.333	0	0	0	0	0	0	663333.3333	0	0	0	0	539000	588500	584566.6667	0	3366.666667	122000	0	" isocitrate dehydrogenase [NAD] subunit beta, mitochondrial isoform a precursor [Homo sapiens]"
1273	33866666.67	33866666.67	36033333.33	46566666.67	51600000	40833333.33	26666666.67	39300000	34833333.33	40633333.33	38700000	29266666.67	32600000	22166666.67	20633333.33	23433333.33	5133333.333	2930000	2913333.333	3563333.333	2606666.667	1600000	34166666.67	13466666.67	15100000	35600000	23573333.33	26586666.67	 isocitrate dehydrogenase [NADP] cytoplasmic [Homo sapiens]
1274	55266666.67	48633333.33	49066666.67	55500000	69466666.67	36033333.33	38400000	39133333.33	39666666.67	53533333.33	39133333.33	31700000	54433333.33	31733333.33	32166666.67	32233333.33	29900000	26466666.67	32466666.67	49633333.33	27100000	30400000	33566666.67	21233333.33	18266666.67	14033333.33	6700000	15466666.67	" isocitrate dehydrogenase [NADP], mitochondrial isoform 1 precursor [Homo sapiens]"
1275	0	0	0	0	1596500	0	0	551666.6667	1030000	1145666.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" isoleucine--tRNA ligase, cytoplasmic [Homo sapiens]"
1276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1765000	0	0	483333.3333	1373333.333	1210000	0	0	0	0	0	0	 isopentenyl-diphosphate Delta-isomerase 1 [Homo sapiens]
1277	3990000	3090000	0	4025000	4020000	1857500	2610000	1150666.667	1100000	5085000	763333.3333	1712666.667	2386666.667	1296666.667	1370000	1735000	4243333.333	1290000	2870000	3646666.667	3090000	1244666.667	4893333.333	1113333.333	692333.3333	2056666.667	115233.3333	1133000	" isovaleryl-CoA dehydrogenase, mitochondrial isoform 1 precursor [Homo sapiens]"
1278	0	0	0	0	1690000	403333.3333	933000	977000	1185000	670000	0	0	0	0	0	0	0	0	0	0	0	0	1210000	717000	512000	0	0	1507000	 IST1 homolog isoform c [Homo sapiens]
1279	1465000	3400000	1065666.667	1636333.333	3240000	2176666.667	1290000	1176666.667	706666.6667	2586666.667	1523333.333	1141666.667	1199000	486666.6667	1108333.333	836000	1239666.667	346000	789666.6667	1254000	1560000	660333.3333	1041000	528000	1529000	272000	270400	149333.3333	 izumo sperm-egg fusion protein 3 precursor [Homo sapiens]
1280	0	4656666.667	3400000	1286666.667	0	0	0	0	0	0	0	0	0	0	0	0	2140000	0	1155000	1200000	1175000	1950000	2290000	0	163333.3333	0	265000	0	 janus kinase and microtubule-interacting protein 1 isoform 2 [Homo sapiens]
